codigo_municipio,nome_municipio,ano_referencia,populacao,rad_pop,pib,estado,lat,lon
3502606,Aparecida d'Oeste (SP),2022,4086,691.4457622806834,168206,SP,-20.478810357772353,-50.92197711225338
3514205,Dolcinópolis (SP),2022,2207,592.8059722917847,63005,SP,-20.117234047746738,-50.52828920269503
3515202,Estrela d'Oeste (SP),2022,9417,837.2747484673415,1211780,SP,-20.265733272320585,-50.411465025714556
3515509,Fernandópolis (SP),2022,71186,1248.3707867870553,2760929,SP,-20.271719690038527,-50.28302417335714
3518008,Guarani d'Oeste (SP),2022,1968,575.2878263887083,38175,SP,-20.06682550651005,-50.34460480978392
3520707,Indiaporã (SP),2022,4035,689.3584986601519,121298,SP,-19.947918511243387,-50.263686884763445
3524808,Jales (SP),2022,48776,1165.3188828325751,2384962,SP,-20.28579732492374,-50.55409920975214
3528205,Macedônia (SP),2022,3963,686.3719180841238,93684,SP,-20.098080689034685,-50.18154799364407
3529104,Marinópolis (SP),2022,1860,566.7577918961344,42490,SP,-20.479884204297164,-50.83233440987931
3529609,Meridiano (SP),2022,4572,710.2622884238358,399566,SP,-20.398202214822295,-50.1866531619681
3530003,Mira Estrela (SP),2022,3126,647.6240932933645,67283,SP,-19.951752616241468,-50.12431581386094
3535200,Palmeira d'Oeste (SP),2022,8903,827.0344740952446,231468,SP,-20.438943623057348,-50.74878029968972
3535903,Paranapuã (SP),2022,4031,689.1938119980646,135993,SP,-20.063768127593953,-50.59403107696528
3536901,Pedranópolis (SP),2022,2787,629.2806289985425,84614,SP,-20.210100604418134,-50.10701685185274
3540408,Populina (SP),2022,4127,693.1072048903469,120314,SP,-19.907282668998285,-50.517286571974566
3544509,Rubinéia (SP),2022,3833,680.8565254737164,145707,SP,-20.249678600311846,-51.01830125866817
3545704,Santa Albertina (SP),2022,6393,767.8944904704515,277755,SP,-20.01414858335697,-50.72770552666068
3546108,Santa Clara d'Oeste (SP),2022,2598,618.1886217645817,101021,SP,-20.066889104757262,-50.90842920055513
3546603,Santa Fé do Sul (SP),2022,34794,1093.5303679889832,1681363,SP,-20.24183434452605,-50.95015916423094
3547205,Santana da Ponte Pensa (SP),2022,1670,550.6499129142775,45598,SP,-20.26071536258069,-50.79710110425345
3547403,Santa Rita d'Oeste (SP),2022,2733,626.1802499658028,82817,SP,-20.097127876583453,-50.8127103580623
3549003,São Francisco (SP),2022,2602,618.4305684716307,50205,SP,-20.36577637921214,-50.675894606936254
3549201,São João das Duas Pontes (SP),2022,2580,617.095821867291,55919,SP,-20.408391412821963,-50.38344103159403
3554904,Três Fronteiras (SP),2022,6804,778.853191502843,130745,SP,-20.27372425701046,-50.86958711830855
3555307,Turmalina (SP),2022,1669,550.5610206754468,72580,SP,-20.083552746726582,-50.45673861989925
3555802,Urânia (SP),2022,8833,825.5993882162592,313528,SP,-20.20890958527709,-50.65252959556991
3501202,Álvares Florence (SP),2022,3915,684.3542447137556,135134,SP,-20.289526181419365,-49.920264188857644
3501806,Américo de Campos (SP),2022,5870,753.0091379910909,141692,SP,-20.289370508243056,-49.76797207868204
3510708,Cardoso (SP),2022,11345,871.7083720422552,372262,SP,-20.067172352980446,-49.947625216039846
3512902,Cosmorama (SP),2022,8719,823.2404396860152,622396,SP,-20.44253431702917,-49.774576644686555
3540309,Pontes Gestal (SP),2022,2387,604.9405813833068,115084,SP,-20.17481722962002,-49.7573811381317
3556107,Valentim Gentil (SP),2022,14098,912.7486939720444,459473,SP,-20.420494112596806,-50.10172177562802
3557105,Votuporanga (SP),2022,96634,1317.602305682024,4138149,SP,-20.457801046766523,-49.989089005152046
3500907,Altair (SP),2022,3451,663.6414778774453,126934,SP,-20.533341991551676,-49.093850445350036
3517901,Guaraci (SP),2022,10350,854.65250924511,449531,SP,-20.374696022391745,-49.00276754102236
3519808,Icém (SP),2022,7819,803.5888870328793,236126,SP,-20.367264367140198,-49.18530676437422
3533908,Olímpia (SP),2022,55074,1191.685097589116,3126541,SP,-20.705229736912226,-48.95959838157348
3534203,Orindiúva (SP),2022,6024,757.5103008637946,697766,SP,-20.20159238782742,-49.35549168233613
3536604,Paulo de Faria (SP),2022,7400,793.7447326000402,306079,SP,-20.06659487819762,-49.463401195135795
3544202,Riolândia (SP),2022,10309,853.9187785857964,313423,SP,-20.02352077639364,-49.70916329134681
3505500,Barretos (SP),2022,122485,1372.5865401715346,6174110,SP,-20.514132793752577,-48.651913678006764
3512001,Colina (SP),2022,18486,965.2608527113166,2117227,SP,-20.74617236666995,-48.58883647916439
3512100,Colômbia (SP),2022,6629,774.2608328874632,473153,SP,-20.266869646170704,-48.72172796018219
3517406,Guaíra (SP),2022,39279,1119.0350504751646,2984915,SP,-20.314011357519473,-48.364174957007016
3524204,Jaborandi (SP),2022,6221,763.1220892119727,174902,SP,-20.64998767958349,-48.415957345079846
3503000,Aramina (SP),2022,5420,739.2304344205462,172550,SP,-20.1450352547508,-47.82061595223299
3508207,Buritizal (SP),2022,4356,702.1282742953805,257455,SP,-20.20931557828039,-47.69293662308381
3517703,Guará (SP),2022,18606,966.5326791062181,749060,SP,-20.482587335900355,-47.775254139567984
3520103,Igarapava (SP),2022,26212,1035.0971846879397,1592921,SP,-20.06369114576857,-47.68247582342011
3521309,Ipuã (SP),2022,14454,917.5200082238445,506912,SP,-20.417487534291315,-48.06651123039808
