Regiao_i,Hub_k,O_i,N_col_i,R_col_i,d_ik_km,L_acesso_col_ik_km,L_interno_col_i_km,Dist_col_ik_km,TC_col_ik_reais,C_col_ik_reais_por_pacote
São Paulo,Campinas,39853.34286900001,39853.34286900001,266,106.8902719659621,56865.62468589184,69884.59356756923,126750.21825346106,316875.54563365265,7.95104056076899
São Paulo,Sorocaba,39853.34286900001,39853.34286900001,266,124.75822094514913,66371.37354281933,69884.59356756923,136255.96711038856,340639.9177759714,8.547336139296329
São Paulo,Ribeirão Preto,39853.34286900001,39853.34286900001,266,325.7739259455122,173311.72860301248,69884.59356756923,243196.32217058173,607990.8054264543,15.255704080456974
São Paulo,São José dos Campos,39853.34286900001,39853.34286900001,266,117.40520556315826,62459.569359600195,69884.59356756923,132344.1629271694,330860.4073179235,8.301948682334597
São Paulo,São José do Rio Preto,39853.34286900001,39853.34286900001,266,441.9153998310837,235098.99271013652,69884.59356756923,304983.58627770573,762458.9656942643,19.131618850657176
São Paulo,Bauru,39853.34286900001,39853.34286900001,266,271.0259613935641,144185.8114613761,69884.59356756923,214070.40502894536,535176.0125723634,13.428635442991935
São Paulo,Araraquara,39853.34286900001,39853.34286900001,266,248.89719754679714,132413.30909489607,69884.59356756923,202297.9026624653,505744.75665616326,12.690146428081889
São Paulo,Marília,39853.34286900001,39853.34286900001,266,374.8281077403839,199408.55331788425,69884.59356756923,269293.1468854535,673232.8672136337,16.892757765053357
São Paulo,Presidente Prudente,39853.34286900001,39853.34286900001,266,531.1319849365414,282562.21598624,69884.59356756923,352446.80955380923,881117.0238845231,22.10898661075434
São Paulo,Araçatuba,39853.34286900001,39853.34286900001,266,493.26257764192354,262415.6913055033,69884.59356756923,332300.2848730725,830750.7121826813,20.84519521771114
Campinas,São Paulo,28141.592906000005,28141.592906000005,188,106.8902719659621,40190.74225920175,51901.35113749834,92092.09339670009,230230.23349175023,8.181137232024394
Campinas,Sorocaba,28141.592906000005,28141.592906000005,188,118.83075918836127,44680.36545482384,51901.35113749834,96581.71659232219,241454.2914808055,8.57997954441753
Campinas,Ribeirão Preto,28141.592906000005,28141.592906000005,188,219.45444545735106,82514.871491964,51901.35113749834,134416.22262946234,336040.55657365586,11.941063808865255
Campinas,São José dos Campos,28141.592906000005,28141.592906000005,188,163.44064371885884,61453.68203829092,51901.35113749834,113355.03317578926,283387.58293947316,10.070061914620787
Campinas,São José do Rio Preto,28141.592906000005,28141.592906000005,188,340.018772650455,127847.05851657108,51901.35113749834,179748.40965406943,449371.0241351736,15.968215645652531
Campinas,Bauru,28141.592906000005,28141.592906000005,188,187.23165323648885,70399.10161691981,51901.35113749834,122300.45275441816,305751.1318860454,10.864741484511237
Campinas,Araraquara,28141.592906000005,28141.592906000005,188,144.2673656090199,54244.52946899148,51901.35113749834,106145.88060648982,265364.70151622454,9.42962619076359
Campinas,Marília,28141.592906000005,28141.592906000005,188,304.31185394601744,114421.25708370256,51901.35113749834,166322.6082212009,415806.52055300225,14.775514731589663
Campinas,Presidente Prudente,28141.592906000005,28141.592906000005,188,456.96238640909,171817.85728981785,51901.35113749834,223719.2084273162,559298.0210682905,19.874426544953813
Campinas,Araçatuba,28141.592906000005,28141.592906000005,188,401.86077700837325,151099.65215514833,51901.35113749834,203001.00329264667,507502.5082316167,18.03389416963008
Sorocaba,São Paulo,11796.544977,11796.544977,79,124.75822094514913,19711.798909333564,24358.12146075252,44069.92037008608,110174.80092521521,9.339582152234032
Sorocaba,Campinas,11796.544977,11796.544977,79,118.83075918836127,18775.25995176108,24358.12146075252,43133.3814125136,107833.453531284,9.141104767669637
Sorocaba,Ribeirão Preto,11796.544977,11796.544977,79,297.7151239612954,47038.98958588467,24358.12146075252,71397.11104663719,178492.77761659297,15.130936894201186
Sorocaba,São José dos Campos,11796.544977,11796.544977,79,236.2385421409789,37325.68965827466,24358.12146075252,61683.81111902719,154209.52779756798,13.072431639792322
Sorocaba,São José do Rio Preto,11796.544977,11796.544977,79,366.01168589980415,57829.84637216906,24358.12146075252,82187.96783292158,205469.91958230396,17.417804957545915
Sorocaba,Bauru,11796.544977,11796.544977,79,175.28363035755874,27694.81359649428,24358.12146075252,52052.9350572468,130132.337643117,11.031394183368018
Sorocaba,Araraquara,11796.544977,11796.544977,79,198.62286828700144,31382.413189346225,24358.12146075252,55740.53465009875,139351.33662524688,11.812894105599856
Sorocaba,Marília,11796.544977,11796.544977,79,259.95033114537534,41072.152320969304,24358.12146075252,65430.27378172183,163575.68445430457,13.866406203954796
Sorocaba,Presidente Prudente,11796.544977,11796.544977,79,415.5181279421347,65651.86421485728,24358.12146075252,90009.9856756098,225024.9641890245,19.075497497594505
Sorocaba,Araçatuba,11796.544977,11796.544977,79,394.9653054527486,62404.518261534286,24358.12146075252,86762.63972228681,216906.59930571704,18.387298970048004
Ribeirão Preto,São Paulo,2967.1470000000004,2967.1470000000004,20,325.7739259455122,13030.957037820488,10043.706415478433,23074.66345329892,57686.658633247294,19.44179328939459
Ribeirão Preto,Campinas,2967.1470000000004,2967.1470000000004,20,219.45444545735106,8778.177818294042,10043.706415478433,18821.884233772475,47054.71058443119,15.858570736276693
